Rank,Country,Total_Area_km2,Total_Area_mi2,Land_Area_km2,Land_Area_mi2,World_Share
1,Russia,17098242,6601665,16376870,6323142,11
2,Canada,9984670,3855101,9093510,3511022,6.11
3,China,9706961,3747877,9388211,3624807,6.3
4,United States,9372610,3618783,9147420,3531837,6.14
5,Brazil,8515767,3287955,8358140,3227095,5.61
6,Australia,7692024,2969906,7682300,2966151,5.16
7,India,3287590,1269345,2973190,1147955,2
8,Argentina,2780400,1073518,2736690,1056641,1.84
9,Kazakhstan,2724900,1052089,2699700,1042360,1.81
10,Algeria,2381741,919595,2381740,919595,1.6
11,DR Congo,2344858,905354,2267050,875313,1.52
12,Greenland,2166086,836330,410450,158476,0.28
13,Saudi Arabia,2149690,830000,2149690,830000,1.44
14,Mexico,1964375,758449,1943950,750563,1.31
15,Indonesia,1904569,735358,1811570,699451,1.22
16,Sudan,1886068,728215,1765048,681489,1.19
17,Libya,1759540,679362,1759540,679362,1.18
18,Iran,1648195,636371,1628550,628786,1.09
19,Mongolia,1564110,603906,1553560,599833,1.04
20,Peru,1285216,496224,1280000,494211,0.86
21,Chad,1284000,495755,1259200,486180,0.85
